<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181129;203000;1.13766;1.13798;1.13750;1.13778;421
20181129;204500;1.13778;1.13785;1.13734;1.13756;645
20181129;210000;1.13754;1.13908;1.13699;1.13745;1813
20181129;211500;1.13745;1.13746;1.13639;1.13722;867
20181129;213000;1.13722;1.13847;1.13718;1.13839;669
20181129;214500;1.13839;1.13908;1.13794;1.13886;954
20181129;220000;1.13886;1.13888;1.13811;1.13840;746
20181129;221500;1.13841;1.13880;1.13823;1.13875;483
20181129;223000;1.13875;1.13956;1.13874;1.13934;563
20181129;224500;1.13934;1.13936;1.13880;1.13890;489
20181129;230000;1.13890;1.13900;1.13872;1.13895;212
20181129;231500;1.13895;1.13898;1.13870;1.13886;158
20181129;233000;1.13886;1.13916;1.13885;1.13915;168
20181129;234500;1.13915;1.13944;1.13909;1.13925;338
20181130;000000;1.13924;1.13931;1.13840;1.13916;330
20181130;001500;1.13915;1.13920;1.13894;1.13896;168
20181130;003000;1.13895;1.13895;1.13843;1.13858;509
20181130;004500;1.13858;1.13885;1.13856;1.13877;343
20181130;010000;1.13878;1.13893;1.13867;1.13891;374
20181130;011500;1.13891;1.13896;1.13882;1.13892;122
20181130;013000;1.13892;1.13901;1.13883;1.13898;112
20181130;014500;1.13898;1.13923;1.13894;1.13922;156
20181130;020000;1.13920;1.13959;1.13914;1.13921;354
20181130;021500;1.13923;1.13932;1.13898;1.13922;306
20181130;023000;1.13922;1.13935;1.13913;1.13930;252
20181130;024500;1.13929;1.13931;1.13884;1.13887;440
20181130;030000;1.13887;1.13889;1.13853;1.13874;290
20181130;031500;1.13874;1.13884;1.13847;1.13855;416
20181130;033000;1.13856;1.13868;1.13844;1.13865;270
20181130;034500;1.13865;1.13907;1.13854;1.13902;335
20181130;040000;1.13902;1.13907;1.13873;1.13907;406
20181130;041500;1.13907;1.13934;1.13903;1.13933;417
20181130;043000;1.13933;1.13945;1.13922;1.13941;339
20181130;044500;1.13940;1.13980;1.13932;1.13978;433
20181130;050000;1.13979;1.14001;1.13953;1.13955;396
20181130;051500;1.13954;1.13988;1.13954;1.13963;200
20181130;053000;1.13963;1.13963;1.13935;1.13937;437
20181130;054500;1.13937;1.13953;1.13922;1.13952;276
20181130;060000;1.13952;1.13958;1.13937;1.13941;237
20181130;061500;1.13941;1.13946;1.13922;1.13926;224
